segment,anomaly,train,channel,sampling,duration,len,mean,var,std,kurtosis,skew,n_peaks,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff2_peaks,diff_var,diff2_var,gaps_squared,len_weighted,var_div_duration,var_div_len
1,0,0,CADC0872,1,268,250,2.154713584302741e-05,8.715923863159617e-13,9.335911237345617e-07,-0.29765825718874295,0.644217585942581,52,2,2,74,79,3.5552292111744504e-13,1.029932685021786e-12,306,250,3.2522103967013497e-15,3.4863695452638467e-15
2,0,1,CADC0872,1,65,66,2.124858766093276e-05,6.8308873941571345e-12,2.6135966395289717e-06,-0.9283155311523421,0.5352720556133177,3,1,1,20,20,2.3305875974599016e-13,6.613247087384559e-13,65,66,1.0509057529472515e-13,1.0349829385086567e-13
3,0,1,CADC0872,1,128,114,3.1956458717713246e-05,1.5346387228052845e-10,1.2388053611464896e-05,-1.1047924374055968,0.3479582643688396,0,1,1,34,38,3.3125549892045955e-13,9.059006977421828e-13,162,114,1.1989365021916285e-12,1.3461743182502496e-12
4,1,1,CADC0872,5,65,14,4.348866740160386e-05,8.057113438521356e-09,8.976142511413996e-05,4.857663480989974,2.0657619185079903,0,1,1,2,1,5.296302726148908e-09,5.056542187782098e-09,325,70,1.23955591361867e-10,5.755081027515254e-10
5,0,1,CADC0872,1,19,14,1.4815533656135344e-05,7.495727731994316e-11,8.657787091395997e-06,-1.0937506101962655,0.36312057243039847,0,1,1,3,3,1.0601716193226188e-12,1.8682959833340718e-12,31,14,3.945119858944377e-12,5.354091237138797e-12
6,0,1,CADC0872,5,75,14,4.818573755231636e-05,1.5959131737442997e-10,1.2632945712478542e-05,-1.1608639151300413,-0.3114727673779088,0,1,1,1,3,7.927347169173593e-13,2.927194225882499e-13,475,70,2.127884231659066e-12,1.1399379812459283e-11
7,0,1,CADC0872,5,415,84,1.1588281828020295e-05,1.5440728172460024e-11,3.9294691972911585e-06,-1.0064327667999127,-0.40909122195195446,1,1,1,28,30,4.4250703432839395e-13,1.3286457349654562e-12,2075,420,3.720657390954223e-14,1.83818192529286e-13
8,0,1,CADC0872,1,303,304,6.404412575773346e-06,3.795679696716948e-11,6.160908777702319e-06,-0.6612055930608727,-0.7864693412138931,0,1,1,99,105,4.2206627908003834e-13,1.3024966733104865e-12,303,304,1.2526995698735804e-13,1.2485788476042593e-13
9,0,1,CADC0872,1,16,18,6.402843185400239e-06,1.1909119803691017e-10,1.0912891369243541e-05,-1.1598506820060346,-0.3304584185932346,0,1,0,4,5,9.294761659578787e-13,1.5995905195552817e-12,16,18,7.443199877306886e-12,6.616177668717232e-12
10,0,1,CADC0872,1,173,174,4.217372637061481e-05,4.875791521017017e-10,2.2081194535208045e-05,-1.2605044304597965,0.3018737615419917,0,1,1,49,54,4.0717818253236274e-13,1.088075076889068e-12,173,174,2.8183766017439403e-12,2.802179035067251e-12
11,0,0,CADC0872,1,251,260,-5.13757602271841e-06,3.4661952607636582e-12,1.8617720754065622e-06,0.045768787410136014,1.0382144872251695,29,0,0,75,82,3.76914251440072e-13,1.129571980708184e-12,251,260,1.380954287156836e-14,1.3331520233706377e-14
12,0,1,CADC0872,1,90,91,-8.538425619637386e-06,8.207672728211073e-11,9.059620702993626e-06,-1.176581082199756,-0.02740375730330207,0,0,0,30,32,2.950068728757825e-13,8.733066183609313e-13,90,91,9.11963636467897e-13,9.019420580451728e-13
13,0,1,CADC0872,1,141,142,-1.3777341270667457e-05,1.203329426885616e-10,1.096963730888864e-05,-1.191563124106804,0.01222108990898897,0,0,0,43,48,3.4000504012326836e-13,9.893972331763904e-13,141,142,8.534251254507915e-13,8.474150893560676e-13
14,0,1,CADC0872,1,15,14,1.7114545757410397e-05,3.8368233190522655e-10,1.9587810799199245e-05,-1.214560631022716,0.0576989623540875,0,1,0,5,5,5.141812143735501e-13,1.6544674473904345e-12,19,14,2.5578822127015104e-11,2.7405880850373324e-11
15,0,1,CADC0872,5,930,187,-2.5361895828266876e-05,3.216960890808569e-11,5.671825888378952e-06,0.08354773145939243,1.12894068300349,0,0,0,58,63,3.5013459574969794e-13,9.124994603863478e-13,4650,935,3.4590977320522246e-14,1.7202999416088606e-13
16,0,0,CADC0872,1,179,167,2.521333797069211e-05,9.517284874789761e-11,9.755657268882379e-06,-1.00687635811954,0.10242442642381053,1,1,1,1,2,4.2881268328071956e-12,1.3028242396231599e-11,205,167,5.316918924463554e-13,5.698972978916024e-13
17,0,1,CADC0872,1,13,14,-2.1480739772437523e-05,1.8781952381690868e-10,1.3704726331339444e-05,-1.2073220369448963,0.07068176882309506,0,0,0,4,4,4.86598013749877e-13,1.1707314437732473e-12,13,14,1.4447655678223745e-11,1.3415680272636334e-11
18,1,1,CADC0872,1,37,14,3.103015106381682e-05,1.0590680105746337e-09,3.254332513088719e-05,-1.696532452864198,-0.29241060984377076,2,1,0,2,2,6.753665702352224e-10,1.8460986104844452e-09,637,14,2.862345974526037e-11,7.564771504104526e-11
19,1,0,CADC0872,1,53,43,1.6801713689867608e-05,3.957450673225635e-09,6.29082718982618e-05,1.9447317724389928,0.24537319561961468,7,3,5,7,8,1.0131190136435626e-08,3.343594200125762e-08,75,43,7.466888062689878e-11,9.203373658664268e-11
20,0,0,CADC0872,1,269,270,3.0749996526361416e-05,8.099416312193594e-11,8.99967572315447e-06,-1.1603852774208412,0.241770318562615,0,1,1,77,85,3.7638264074799406e-13,1.0856466257006553e-12,269,270,3.010935432042228e-13,2.9997838193309606e-13
21,0,1,CADC0872,1,13,14,-1.4794533894452961e-05,8.578235981799769e-11,9.261876689850588e-06,-0.8193296434456863,-0.6589066343851497,0,0,0,3,3,2.2169723127232464e-12,1.591515855685451e-12,13,14,6.598643062922899e-12,6.1273114155712635e-12
22,0,1,CADC0872,1,13,14,4.239678342604578e-05,8.284213456304326e-10,2.8782309595139035e-05,-1.445410311115116,-0.12448708855077098,1,1,1,0,0,9.542931834969322e-10,2.520671906388074e-09,13,14,6.372471889464867e-11,5.917295325931662e-11
23,0,0,CADC0872,1,13,14,-2.2883142980540694e-05,1.9714161750267655e-10,1.404071285592995e-05,-0.43060206542908386,-0.5672407734374829,1,0,0,1,1,2.58000788623723e-10,8.153934691462314e-10,13,14,1.5164739807898197e-11,1.408154410733404e-11
24,0,0,CADC0872,1,218,219,3.523811195945064e-05,2.2468411146890312e-10,1.4989466683938528e-05,-1.1524540731354762,0.23394844586604413,0,1,1,64,72,3.7994671582806803e-13,1.1223872545812868e-12,218,219,1.0306610617839592e-12,1.0259548468899686e-12
25,0,1,CADC0872,1,338,339,-4.355735482752154e-05,2.960856046730164e-10,1.7207138189513573e-05,-1.1386374195407236,-0.2562237128425157,0,0,0,94,107,4.2622036757653115e-13,1.2764029718673059e-12,338,339,8.759929132337763e-13,8.734088633422313e-13
26,0,1,CADC0872,1,165,166,5.6124594345592605e-05,3.8919013445783937e-10,1.9727902434314687e-05,-1.2367506627527385,-0.38076894923511073,0,1,1,42,43,2.996150481716971e-13,7.550757892557407e-13,165,166,2.358728087623269e-12,2.3445188822761407e-12
27,0,0,CADC0872,1,292,293,-1.3186092857326553e-05,1.7696840891278356e-11,4.206761330439172e-06,5.596609346560774,2.6728545779530872,25,13,4,23,41,3.465050248849129e-11,1.0357315630507172e-10,292,293,6.06056194906793e-14,6.039877437296367e-14
28,1,1,CADC0872,5,910,159,-2.4313438337754148e-05,6.505910077621854e-10,2.5506685550305932e-05,44.72885122294576,3.1168593772064463,1,0,0,2,2,5.577569982169425e-10,1.1637875803560956e-09,5750,795,7.149351733650389e-13,4.09176734441626e-12
29,0,1,CADC0872,5,1095,220,-3.2714998867910006e-07,5.533272785288602e-11,7.438597169687711e-06,-1.1445660225940646,0.25700415101919366,0,1,1,72,76,3.7858406699096894e-13,1.1314842056762456e-12,5475,1100,5.053217155514705e-14,2.515123993313001e-13
30,0,1,CADC0872,1,261,241,2.098448225100244e-05,1.0721411345911657e-11,3.2743566308378286e-06,-0.9576891307985078,-0.49723712767640044,6,1,1,79,79,3.3620964273402464e-13,9.947654056194945e-13,303,241,4.107820439046612e-14,4.448718400793218e-14
31,0,1,CADC0872,5,845,170,3.141791271628567e-05,1.2040738241143382e-10,1.0973029773559982e-05,-0.8957209814379872,0.611208566370831,0,1,1,53,58,3.713201975807038e-13,1.081525835418842e-12,4225,850,1.424939436821702e-13,7.082787200672578e-13
32,0,1,CADC0872,1,146,157,1.0621968758764855e-05,7.521372837131312e-11,8.672584872534435e-06,-1.2200291164076578,-0.005208042894075877,0,1,1,53,53,4.934642643608464e-13,1.4167508876570665e-12,146,157,5.151625230911858e-13,4.790683335752428e-13
33,0,1,CADC0872,5,1025,211,-1.2926753486735744e-05,5.673773562518144e-11,7.532445527528323e-06,-1.1642045183647276,-0.1274756245710445,0,0,0,66,72,3.9451552859661176e-13,1.2324759506824439e-12,5125,1055,5.535388841481116e-14,2.6889922097242387e-13
34,1,0,CADC0872,5,1335,231,1.5634148799822571e-06,9.440749917478525e-09,9.71635215370384e-05,-1.485344263628805,-0.06278740225293697,4,4,4,3,79,1.0149972644797847e-10,2.494224840650904e-12,9075,1155,7.071722784628108e-12,4.086904726181179e-11
35,0,1,CADC0872,1,13,14,1.4801433678993947e-05,2.696014338065913e-11,5.192315801322097e-06,2.1505322803321976,-1.3432257284292652,0,1,1,1,1,2.2790078289285607e-11,7.351885416557608e-11,13,14,2.0738571831276253e-12,1.925724527189938e-12
